sales_month,product_category_name,total_revenue,monthly_rank
2017-09,dvds_blu_ray,39.8,65
2017-09,casa_conforto_2,12.9,66
2017-10,relogios_presentes,64874.63,1
2017-10,esporte_lazer,48568.98,2
2017-10,cama_mesa_banho,46007.7,3
2017-10,cool_stuff,44348.23,4
2017-10,informatica_acessorios,42009.38,5
2017-10,beleza_saude,40698.99,6
2017-10,pcs,40393.92,7
2017-10,brinquedos,33324.42,8
2017-10,moveis_decoracao,30009.74,9
2017-10,ferramentas_jardim,25798.75,10
2017-10,automotivo,21419.39,11
2017-10,telefonia,20859.18,12
2017-10,moveis_escritorio,17890.83,13
2017-10,perfumaria,16877.82,14
2017-10,bebes,16497.5,15
2017-10,,16321.27,16
2017-10,utilidades_domesticas,15883.68,17
2017-10,consoles_games,10380.72,18
2017-10,pet_shop,8243.58,19
2017-10,papelaria,7697.17,20
2017-10,fashion_bolsas_e_acessorios,7584.66,21
2017-10,eletroportateis,6464.85,22
2017-10,instrumentos_musicais,6329.26,23
2017-10,malas_acessorios,6240.34,24
2017-10,casa_construcao,4201.17,25
2017-10,telefonia_fixa,3751.88,26
2017-10,casa_conforto,3619.8,27
2017-10,moveis_cozinha_area_de_servico_jantar_e_jardim,3428.6,28
2017-10,eletronicos,3376.35,29
2017-10,agro_industria_e_comercio,3350.28,30
2017-10,construcao_ferramentas_construcao,2576.18,31
2017-10,climatizacao,2562.42,32
2017-10,audio,2328.58,33
2017-10,alimentos_bebidas,2297.23,34
2017-10,industria_comercio_e_negocios,2256.69,35
2017-10,eletrodomesticos_2,2104.27,36
2017-10,fashion_calcados,1860.92,37
2017-10,eletrodomesticos,1837.68,38
2017-10,construcao_ferramentas_seguranca,1668.85,39
2017-10,moveis_sala,1532.79,40
2017-10,market_place,1019.54,41
2017-10,construcao_ferramentas_ferramentas,1018.6,42
2017-10,fashion_roupa_masculina,971.9,43
2017-10,moveis_quarto,943.9,44
2017-10,livros_tecnicos,880.0,45
2017-10,alimentos,806.06,46
2017-10,construcao_ferramentas_jardim,746.9,47
2017-10,sinalizacao_e_seguranca,744.0,48
2017-10,livros_interesse_geral,734.5,49
2017-10,bebidas,596.98,50
2017-10,construcao_ferramentas_iluminacao,500.0,51
2017-10,artigos_de_natal,388.05,52
2017-10,artes,349.05,53
2017-10,fashion_underwear_e_moda_praia,187.8,54
2017-10,dvds_blu_ray,174.6,55
2017-10,artigos_de_festas,137.8,56
2017-10,la_cuisine,137.0,57
2017-10,tablets_impressao_imagem,99.0,58
2017-10,cine_foto,69.0,59
2017-10,casa_conforto_2,64.5,60
2017-10,fashion_esporte,59.9,61
2017-10,musica,54.9,62
2017-10,cds_dvds_musicais,45.0,63
2017-10,fashion_roupa_infanto_juvenil,39.99,64
2017-11,relogios_presentes,95292.34,1
2017-11,cama_mesa_banho,87957.63,2
2017-11,beleza_saude,78274.4,3
2017-11,informatica_acessorios,69676.32,4
2017-11,esporte_lazer,62686.24,5
2017-11,brinquedos,62611.26,6
2017-11,moveis_decoracao,62091.27,7
2017-11,cool_stuff,55696.66,8
2017-11,ferramentas_jardim,44275.18,9
2017-11,automotivo,34736.49,10
2017-11,utilidades_domesticas,33872.42,11
2017-11,perfumaria,31612.13,12
2017-11,telefonia,26117.63,13
2017-11,bebes,21048.19,14
2017-11,moveis_escritorio,17919.2,15
2017-11,papelaria,16406.19,16
2017-11,instrumentos_musicais,15776.89,17
2017-11,agro_industria_e_comercio,13932.49,18
2017-11,,13786.55,19
2017-11,fashion_bolsas_e_acessorios,12849.33,20
2017-11,consoles_games,11772.28,21
2017-11,pet_shop,11167.79,22
2017-11,eletronicos,9992.99,23
2017-11,pcs,9768.0,24
2017-11,malas_acessorios,8301.15,25
2017-11,construcao_ferramentas_construcao,6993.56,26
2017-11,eletroportateis,6782.92,27
2017-11,moveis_sala,6212.95,28
2017-11,casa_conforto,5355.39,29
2017-11,moveis_cozinha_area_de_servico_jantar_e_jardim,5007.39,30
2017-11,casa_construcao,4936.72,31
2017-11,eletrodomesticos_2,4854.93,32
2017-11,eletrodomesticos,4515.94,33
2017-11,climatizacao,4076.62,34
2017-11,audio,3677.23,35
2017-11,construcao_ferramentas_seguranca,3280.69,36
2017-11,livros_interesse_geral,2630.97,37
2017-11,alimentos_bebidas,2445.57,38
2017-11,construcao_ferramentas_iluminacao,2199.48,39
2017-11,industria_comercio_e_negocios,1994.87,40
2017-11,fashion_calcados,1707.8,41
2017-11,market_place,1355.98,42
2017-11,artigos_de_natal,1312.6,43
2017-11,fashion_underwear_e_moda_praia,1221.6,44
2017-11,construcao_ferramentas_jardim,1218.5,45
2017-11,telefonia_fixa,943.98,46
2017-11,fashion_roupa_masculina,880.99,47
2017-11,moveis_quarto,873.0,48
2017-11,artigos_de_festas,850.7,49
2017-11,livros_tecnicos,768.9,50
2017-11,bebidas,674.12,51
2017-11,sinalizacao_e_seguranca,596.79,52
2017-11,alimentos,498.09,53
2017-11,tablets_impressao_imagem,350.4,54
2017-11,moveis_colchao_e_estofado,334.0,55
2017-11,construcao_ferramentas_ferramentas,269.5,56
2017-11,livros_importados,247.0,57
2017-11,cine_foto,242.0,58
2017-11,cds_dvds_musicais,195.0,59
2017-11,flores,187.8,60
2017-11,la_cuisine,137.0,61
2017-11,dvds_blu_ray,79.79,62
2017-11,artes,75.0,63
2017-11,fashion_roupa_feminina,59.98,64
2017-11,fashion_esporte,59.9,65
2017-11,casa_conforto_2,38.7,66
